city,company,country,date,jobkey,jobtitle,latitude,longitude,state,url,excel,sql,mysql,python,java,c++,sas,matlab,php,perl,hadoop,hive,spss,linux_unix,bachelor,master,phd
Pleasanton,Nifty Inc,US,2014-06-20 16:06:43,528eff5bc53ce591,Data Scientist - Big Data,37.662086,-121.87363,CA,http://www.indeed.com/viewjob?jk=528eff5bc53ce591&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOB_EmYJQgTkOR5Ony8rWdSO8JaFtP5SqDufNICGkb6-IEiOC6gGAx_KMhYuIzIckro1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190a41v991d3101j,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1
Pleasanton,"W. A. Hynes and Company, Inc.",US,2014-06-20 09:20:39,0026cfa4f9fd2699,Hadoop Data Engineer - 15422AV,37.686813,-121.89011,CA,http://www.indeed.com/viewjob?jk=0026cfa4f9fd2699&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOB_EmYJQgTkOR5Ony8rWdSO8JaFtP5SqDufNICGkb6-IGet6j4nQnnerS-FI_053wc1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190a41umg1d5i189,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0
Seattle,STI Software Inc.,US,2014-06-20 03:16:19,66f674827ed8da06,Data Scientist - C++ Python Perl Perm Job - Seattle,47.604397,-122.32967,WA,http://www.indeed.com/viewjob?jk=66f674827ed8da06&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOA4jvYiUPIHmgLG397o-s3_RLxAlX-6kYgeFxLQ7DwE5wuLX3KG_7aLbu2oJOwvcXk&indpubnum=4889224015872296&atk=190a4hmvl1d71107,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Chicago,Randstad Technologies,US,2014-06-19 19:58:40,af6d1c9bc0e45545,Computer Vision Data Scientist,41.8489,-87.64835,IL,http://www.indeed.com/viewjob?jk=af6d1c9bc0e45545&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOBhSgTLrMbqPNFHfS-AfhDcpLI8tba4oG0ODuhoiOEz14aCEPxGlMs8Bo-AK1fw0zY&indpubnum=4889224015872296&atk=190a456691d517pg,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
San Diego,Randstad Technologies,US,2014-06-19 19:58:18,d12c670da9e22998,Principle Requirements Engineer,32.714287,-117.15385,CA,http://www.indeed.com/viewjob?jk=d12c670da9e22998&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOB_EmYJQgTkOR5Ony8rWdSO8JaFtP5SqDufNICGkb6-IGet6j4nQnnerS-FI_053wc1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190a41umg1d5i189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin,Randstad Technologies,US,2014-06-19 19:46:43,dd6e7c4e7fc073be,Data Scientist,30.266483,-97.74176,TX,http://www.indeed.com/viewjob?jk=dd6e7c4e7fc073be&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOBg-YxuthZJPu-ypR83ALf7X0QsVCepWP2zcDl4FgtsbLL4yasKxk1OGcW9L5aFNP0&indpubnum=4889224015872296&atk=190a4g2h81d5h6uu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,Credit Suisse,US,2014-06-19 00:52:06,f876f8d3c3cac396,"Quantitative Client Trading Research and Consulting, New York (EQT 14244)",40.71154,-74.00549,NY,http://www.indeed.com/viewjob?jk=f876f8d3c3cac396&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOA3HT7moDE5MXb2ksSw5jmTHRHTOzvi3o3W5KzGFyB8yddGI3uK7HlxeWl65cxAO4E1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190a4btn71d327tq,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0
Boston,Tessella,US,2014-06-18 14:14:57,ceb5b18036ffd3b3,Data Scientist – Life Sciences / Pharma,42.357143,-71.05495,MA,http://www.indeed.com/viewjob?jk=ceb5b18036ffd3b3&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOBVzZtEAzhyL-iRrcHDD1kA09RlqZJEG8F6xTGU8THBdGOUAa6IDN_miay-DUWvfGo&indpubnum=4889224015872296&atk=190a47vev1d3h2nf,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1
Atlanta,North Highland,US,2014-06-18 12:22:31,6dc26fc78e1f5277,Business Intelligence Data Scientist/ Sr. Data Scientist,33.747253,-84.38461,GA,http://www.indeed.com/viewjob?jk=6dc26fc78e1f5277&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOAvm4q6TAde-fBCjQp49rMnYDbaKNC9dEijnJ46ZV3j3XRwHeErW_SLaD6tf1yG6iE&indpubnum=4889224015872296&atk=190a442m51d6i46r,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Palo Alto,Elevate Recruiting Group,US,2014-06-18 06:27:47,b5c394574b5b8bf7,Sr. Data Scientist/ Analyst,37.43956,-122.14286,CA,http://www.indeed.com/viewjob?jk=b5c394574b5b8bf7&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOB_EmYJQgTkOR5Ony8rWdSO8JaFtP5SqDufNICGkb6-IGet6j4nQnnerS-FI_053wc1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190a41umg1d5i189,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
Palo Alto,Payette Group,US,2014-06-18 06:26:25,46e2dd13c4305bce,Sr. Data Scientist,37.43956,-122.14286,CA,http://www.indeed.com/viewjob?jk=46e2dd13c4305bce&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOB_EmYJQgTkOR5Ony8rWdSO8JaFtP5SqDufNICGkb6-IGet6j4nQnnerS-FI_053wc1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190a41umg1d5i189,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
Chicago,Kemper Services Group,US,2014-06-17 21:58:51,da4f3904e2e07d0a,Data Scientist,41.884617,-87.62088,IL,http://www.indeed.com/viewjob?jk=da4f3904e2e07d0a&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOBhSgTLrMbqPNFHfS-AfhDcpLI8tba4oG0ODuhoiOEz14aCEPxGlMs8Bo-AK1fw0zY&indpubnum=4889224015872296&atk=190a456691d517pg,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
San Francisco,Dropbox,US,2014-06-17 11:57:36,88d030d2e168fb0f,Data Scientist,37.774727,-122.41758,CA,http://www.indeed.com/viewjob?jk=88d030d2e168fb0f&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOB_EmYJQgTkOR5Ony8rWdSO8JaFtP5SqDufNICGkb6-IGet6j4nQnnerS-FI_053wc1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190a41ucd1d727qa,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
San Diego,BASF,US,2014-06-17 07:18:47,3c38ee9b978b4eec,Data Scientist Job,32.714287,-117.15385,CA,http://www.indeed.com/viewjob?jk=3c38ee9b978b4eec&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOB_EmYJQgTkOR5Ony8rWdSO8JaFtP5SqDufNICGkb6-IGet6j4nQnnerS-FI_053wc1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190a41ucd1d727qa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Palo Alto,Payette Group,US,2014-06-17 06:24:03,0a4465a9a6214ff6,Technical Product Manager,37.43956,-122.14286,CA,http://www.indeed.com/viewjob?jk=0a4465a9a6214ff6&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOB_EmYJQgTkOR5Ony8rWdSO8JaFtP5SqDufNICGkb6-IGet6j4nQnnerS-FI_053wc1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190a41umg1d5i189,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
San Francisco,Ginger.io,US,2014-06-16 19:48:54,15e4d2711e95594d,Data Scientist,37.774727,-122.41758,CA,http://www.indeed.com/viewjob?jk=15e4d2711e95594d&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOB_EmYJQgTkOR5Ony8rWdSO8JaFtP5SqDufNICGkb6-IEiOC6gGAx_KMhYuIzIckro1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190a41v991d3101j,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
,Hobson Associates,US,2014-06-16 19:47:33,f030114bfe269d34,Data Scientist – New York,,,NY,http://www.indeed.com/viewjob?jk=f030114bfe269d34&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOA3HT7moDE5MXb2ksSw5jmTHRHTOzvi3o3W5KzGFyB8yddGI3uK7HlxeWl65cxAO4E1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190a4btsq1d512mi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exton,Transamerica US,US,2014-06-16 14:02:14,dd7787abc3a59de8,Advanced Analytics Analyst,40.027473,-75.61539,PA,http://www.indeed.com/viewjob?jk=dd7787abc3a59de8&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOBZzZTGiJxZY3r2Wzsrgsi3r8nFQ7pwzDn7Z6l8lqUK9D9AP_2A7hIDJAezVap1ia0&indpubnum=4889224015872296&atk=190a4e7b81d4i2i8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
San Francisco,eSpark Learning,US,2014-06-16 12:23:44,ba979f0f15fb9ae8,Data Scientist,37.774727,-122.41758,CA,http://www.indeed.com/viewjob?jk=ba979f0f15fb9ae8&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOB_EmYJQgTkOR5Ony8rWdSO8JaFtP5SqDufNICGkb6-IGet6j4nQnnerS-FI_053wc1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190a41u761d3i7un,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mountain View,Intuit,US,2014-06-16 04:06:19,650e894800cd6ffc,"Senior Data Scientist - Large Scale, Distributed Search Platform",37.403847,-122.07692,CA,http://www.indeed.com/viewjob?jk=650e894800cd6ffc&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOB_EmYJQgTkOR5Ony8rWdSO8JaFtP5SqDufNICGkb6-IGet6j4nQnnerS-FI_053wc1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190a41u761d3i7un,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
