city,company,country,date,jobkey,jobtitle,latitude,longitude,state,url,excel,sql,mysql,python,java,c++,sas,matlab,php,perl,hadoop,hive,spss,linux_unix,bachelor,master,phd
Wilmington,Piper Enterprise Solutions,US,2014-08-12 14:01:00,2407b7aba245e1e7,SAS Risk Modeler,39.744507,-75.54395,DE,http://www.indeed.com/viewjob?jk=2407b7aba245e1e7&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9LKNOcu3U099ixxgGdrAUPQ5NoWg3ITxLlZXZesqFUapzCt6aUUcF3yHT5MW2Cvh4g&indpubnum=4889224015872296&atk=190a52l6o1d5i3nd,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
New York,Dataminr,US,2014-08-12 14:01:00,58aa9cdee7ff971f,Data Analyst (Technical),40.71154,-74.00549,NY,http://www.indeed.com/viewjob?jk=58aa9cdee7ff971f&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9KUPDXN_D2AI1pADZ5diohv_MQgRfwuc1MYwhqfMjIoKJcrBeuwtrILzaccbEgcIxQ&indpubnum=4889224015872296&atk=190a5fc1f1d5i23t,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
Tarrytown,PDS Technical Services,US,2014-08-12 13:56:00,56b79b42d7d49949,Business Professional Openings in Tarrytown,41.074177,-73.85714,NY,http://www.indeed.com/viewjob?jk=56b79b42d7d49949&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9KUPDXN_D2AI1pADZ5diohv_MQgRfwuc1MYwhqfMjIoKCU9acvvqmGvLTDTvL990bI&indpubnum=4889224015872296&atk=190a5falo1d3230k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seattle,PDS Technical Services,US,2014-08-12 13:56:00,e7c0e33330811304,Business Professional Openings in Seattle,47.604397,-122.32967,WA,http://www.indeed.com/viewjob?jk=e7c0e33330811304&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9L3eGb1R6djEvbLTasqTfyz4Z0r1R5zmkNbj4VOJWHLHFjMuIZOSm00Jj-u8fFXwhc&indpubnum=4889224015872296&atk=190a5oqmb1d5i0ss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinette,PDS Technical Services,US,2014-08-12 13:56:00,ca77b5394263a07b,Business Professional Openings in Marinette,45.0989,-87.62637,WI,http://www.indeed.com/viewjob?jk=ca77b5394263a07b&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9LQbus8L0MSQrDv8tcQIaSDR-cMb1niemHniBsA_Pz47KgigbPPwQaD7qyVKWi-GoY&indpubnum=4889224015872296&atk=190a5q0d61d6h7cp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wichita,PDS Technical Services,US,2014-08-12 13:55:00,a70351d80b7eb882,Business Professional Positions in Wichita,37.68956,-97.33517,KS,http://www.indeed.com/viewjob?jk=a70351d80b7eb882&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9IjbnmR6Hm6fAoqoHvLA5g6ezxp6HtNeobRzrUgmyplQHXF5ehgHrnX89ZfE8iOBYA&indpubnum=4889224015872296&atk=190a56g091d4h4fo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,"WellPoint, Inc",US,2014-08-12 13:47:45,888664fddc4b78cd,Health Care Data Analyst (Business Info Consultant),40.71154,-74.00549,NY,http://www.indeed.com/viewjob?jk=888664fddc4b78cd&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9KUPDXN_D2AI1pADZ5diohv_MQgRfwuc1MYwhqfMjIoKG8aNGOcT_y2Q5lXCz6jV5s&indpubnum=4889224015872296&atk=190a5f8rs1d41202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Higgins Beach,Healthcare Organization,US,2014-08-12 11:58:09,833d4ee3515cfec4,Imaging Systems Analyst (Data Analyst / HL7 / Oracle-SQL) -Northern New England,43.557693,-70.27473,ME,http://www.indeed.com/viewjob?jk=833d4ee3515cfec4&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9I6kO1fbplItW84I7iyR6Dtobh9m3MUcjrV0IXPVXoTEIhgQWsSOebTnjHmi4fU4-g&indpubnum=4889224015872296&atk=190a580qu1d723uu,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin,Burnett Specialists,US,2014-08-12 11:57:48,d6a8aedb9052f309,Data Analyst,30.343407,-97.76373,TX,http://www.indeed.com/viewjob?jk=d6a8aedb9052f309&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9KLdT4cW5TS8hByZED3VJdosY2RNltsQsMe6iuw_4n_rZAYdr1ef-b4t0-8UADg2uY&indpubnum=4889224015872296&atk=190a5m6on1d426ud,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
New York,,US,2014-08-12 11:57:46,9fab7b0c4c343e0e,Sr. Data Analyst/ BI Analyst,40.71154,-74.01649,NY,http://www.indeed.com/viewjob?jk=9fab7b0c4c343e0e&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9KUPDXN_D2AI1pADZ5diohv_MQgRfwuc1MYwhqfMjIoKCU9acvvqmGvLTDTvL990bI&indpubnum=4889224015872296&atk=190a5fa4o1d6h7kc,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
