city,company,country,date,jobkey,jobtitle,latitude,longitude,state,url,excel,sql,mysql,python,java,c++,sas,matlab,php,perl,hadoop,hive,spss,linux_unix,bachelor,master,phd
Columbia,AppLabs,US,2014-06-24 19:04:52,f49de6e5e031118c,Senior Data Architect,39.23901,-76.83517,MD,http://www.indeed.com/viewjob?jk=f49de6e5e031118c&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgJUECqMQUpNjSk2skkmDV6WUP553MOR50wAs_B_CE3FZb_CeIdTi3VuzmlYP7BGcQU&indpubnum=4889224015872296&atk=190av10fp1d2i12v,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Hartford,Smith Arnold Partners,US,2014-06-24 18:17:24,bf9599803b116143,Data Architect,41.76099,-72.68132,CT,http://www.indeed.com/viewjob?jk=bf9599803b116143&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgKkajlBcrs1bnBcg7PzrrAG7PIkoQHPjcmwlafYig2n9P1Af4ahZVWuT_DNyOM6fwg&indpubnum=4889224015872296&atk=190auprkg1d3i5n5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Jose,"Redolent, Inc",US,2014-06-24 08:10:32,fc05ffaa2caa3bd5,ETL Developer with Java,37.337914,-121.89011,CA,http://www.indeed.com/viewjob?jk=fc05ffaa2caa3bd5&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgIqoguffVOTDaP8tAyp2K6vJBEmpDp0QoXfALFHMNzCOig04TDk0YPx8sNJRFt7DPw1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190auote21d625kq,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
Pittsburgh,TeleTracking,US,2014-06-24 07:56:46,efe5d6cd249d9498,Data Architect,40.43956,-79.99451,PA,http://www.indeed.com/viewjob?jk=efe5d6cd249d9498&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgLyQ_HFsv8kF1QaiKixNYtA8IbQQrPxBEefulVF1BOjE2h8piLeHh9W6eF7GcwXKM8&indpubnum=4889224015872296&atk=190avcf7n1d513bf,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Phoenix,Axius technologies,US,2014-06-24 03:40:44,03e70122ec8ad7bf,Big Data Architect,33.447803,-112.07143,AZ,http://www.indeed.com/viewjob?jk=03e70122ec8ad7bf&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgJaPOV29hZcvaFRLyxPVeQH61qER8Mv91hvcUgqEuKEPo2rNnVtpS3nJrzPG2NeSi8&indpubnum=4889224015872296&atk=190auo7e01d2i73t,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Miami,Kforce,US,2014-06-23 22:45:22,57128fdac2b3687c,ODI Architect,25.664835,-80.2967,FL,http://www.indeed.com/viewjob?jk=57128fdac2b3687c&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgJ25d0N9ixpyZ9qDqvIbuUH5-g8yZxV-YnqA_ADvRvwGV6Sw5iTD2fMBhJb6rpyahk&indpubnum=4889224015872296&atk=190aur1j21d3h7ah,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
New York,Smith Arnold Partners,US,2014-06-23 18:13:39,c268dd9672b6de79,Big Data Architect / Director,40.71154,-74.00549,NY,http://www.indeed.com/viewjob?jk=c268dd9672b6de79&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgINIXMm_D4EVEhe_boMh9Ldj2HOHjYJrw2nRAYMhkqVUSbI8LY2ySMhtz72tgfpayY1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190av91141d2h7s5,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Saint Petersburg,Raymond James Financial,US,2014-06-23 15:21:23,8c9c15db577e80a4,Data Architect,27.76923,-82.67583,FL,http://www.indeed.com/viewjob?jk=8c9c15db577e80a4&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgJ25d0N9ixpyZ9qDqvIbuUH5-g8yZxV-YnqA_ADvRvwGeTwaFmVrXZIovfqAz9pscU&indpubnum=4889224015872296&atk=190aur1e71d315ka,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Schaumburg,Saven Technologies,US,2014-06-20 20:13:00,4f6d929827976515,DW Architect/Modeler,42.032967,-88.08242,IL,http://www.indeed.com/viewjob?jk=4f6d929827976515&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgJwM65vh4FXjUU8eRYlOTxPT_d39VondbnUqveOKM6or1W-SH4nS44B47ivwyeDP5w&indpubnum=4889224015872296&atk=190ausnal1d32608,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
San Antonio,EDC Consulting,US,2014-06-20 20:04:31,8645d457a5efe7a8,Mid Level Data Architect,29.423077,-98.48901,TX,http://www.indeed.com/viewjob?jk=8645d457a5efe7a8&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgIVWpNtQqlA3sMM5Cw7hlLNJSvgofsCVCDMRmg9G6gO6XXvMgHh7kcFDVn5D5jF7_c1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190avfafk1d420s8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Greensboro,Gilbarco,US,2014-06-20 17:41:35,cbf25351e5c17639,Data Architect,36.07143,-79.79121,NC,http://www.indeed.com/viewjob?jk=cbf25351e5c17639&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgIwkKnakrZkwDsDPerIcM_jwtxGgy7SWBO7KVhJTaR-eNC8dEqDBj6d5WbDwqxTXYk&indpubnum=4889224015872296&atk=190av9ija1d4h0e7,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0
